ORIGIN,DESTINATION,SAILING-PATH,SAILING-TIME(minutes),CLUSTERING-LABEL
KNOC-6-ORG,KNOC-6-DES,"[(129.38541666666666, 35.495416666666664), (129.38536666666667, 35.49556666666667), (129.38536666666667, 35.4956), (129.38538333333332, 35.49565), (129.3854, 35.4955), (129.38548333333333, 35.4955), (129.38546666666667, 35.49548333333333), (129.38546666666667, 35.495533333333334), (129.38546666666667, 35.49551666666667), (129.3854, 35.49561666666666), (129.3854, 35.49563333333333), (129.38541666666666, 35.49561666666666), (129.38546666666667, 35.49565), (129.38546666666667, 35.495666666666665), (129.38548333333333, 35.49565), (129.38545, 35.49568333333333), (129.3856, 35.49585), (129.38565, 35.495866666666664), (129.38573333333332, 35.495866666666664), (129.38581666666667, 35.4959), (129.3859, 35.49596666666667), (129.38615, 35.49613333333333), (129.38626666666667, 35.49616666666667), (129.3864, 35.49626666666666), (129.38645, 35.49628333333333), (129.38695, 35.49665), (129.38708333333332, 35.4967), (129.38731666666666, 35.49675), (129.3876, 35.4968), (129.38773333333333, 35.49681666666667), (129.38896666666668, 35.496716666666664), (129.3893, 35.49666666666667), (129.38953333333333, 35.49655), (129.39141666666666, 35.495066666666666), (129.39185, 35.49471666666667), (129.3932, 35.49348333333333), (129.39336666666668, 35.4933), (129.39401666666666, 35.4926), (129.39423333333335, 35.49235), (129.39433333333332, 35.49186666666667), (129.39443333333332, 35.4904), (129.39451666666668, 35.4901), (129.39466666666667, 35.48895), (129.39466666666667, 35.488683333333334), (129.39476666666667, 35.48801666666667), (129.39483333333334, 35.48745), (129.39515, 35.48546666666667), (129.39523333333332, 35.4848), (129.39555, 35.48328333333333), (129.39571666666666, 35.48255), (129.39613333333332, 35.48008333333333), (129.39621666666667, 35.47966666666667), (129.39713333333333, 35.47481666666667)]",26,KNOC-6
KNOC-2-ORG,KNOC-2-DES,"[(129.388815, 35.52521333333333), (129.38881666666666, 35.525216666666665), (129.38881833333335, 35.52522), (129.38881833333335, 35.52522), (129.38881333333333, 35.52522), (129.38880833333334, 35.52522), (129.38878333333332, 35.525211666666664), (129.38878333333332, 35.525211666666664), (129.38878333333332, 35.525211666666664), (129.38877666666667, 35.52520833333333), (129.3887566666667, 35.525191666666665), (129.38876166666665, 35.52518833333333), (129.388785, 35.525191666666665), (129.388805, 35.525195), (129.3888233333333, 35.525198333333336), (129.38883, 35.525195), (129.38883, 35.52518833333333), (129.38880666666665, 35.525173333333335), (129.38877666666667, 35.525153333333336), (129.38876333333334, 35.52513833333333), (129.3887566666667, 35.52512333333333), (129.38876, 35.525115), (129.388765, 35.525106666666666), (129.38876833333333, 35.5251), (129.38876833333333, 35.52507833333333), (129.38875833333333, 35.525065), (129.388745, 35.52505), (129.388725, 35.52502666666667), (129.3887116666667, 35.52500166666667), (129.38867333333334, 35.524925), (129.38865, 35.524875), (129.38863666666666, 35.52482833333333), (129.38863333333333, 35.524766666666665), (129.38864, 35.52471666666667), (129.38865833333332, 35.524658333333335), (129.38868166666666, 35.524595), (129.38870333333332, 35.52454), (129.38872166666667, 35.524483333333336), (129.38874333333334, 35.524405), (129.3887566666667, 35.524346666666666), (129.38876333333334, 35.524276666666665), (129.38876166666665, 35.524195), (129.38875333333334, 35.52412), (129.388755, 35.524026666666664), (129.388765, 35.52391166666666), (129.38877666666667, 35.52382166666667), (129.38880166666667, 35.52369), (129.38882666666666, 35.523535), (129.38884166666668, 35.52341), (129.38886166666666, 35.52328333333333), (129.38888333333333, 35.52312), (129.38890166666667, 35.522983333333336), (129.38892, 35.52283), (129.388945, 35.52265833333333), (129.38897333333333, 35.52252), (129.38901, 35.52238166666667), (129.38914666666668, 35.521881666666665), (129.38918666666666, 35.521695), (129.38922166666666, 35.521521666666665), (129.38925833333334, 35.521343333333334), (129.38944833333332, 35.52046833333333), (129.38961333333333, 35.519713333333335), (129.38976166666666, 35.51888), (129.39029166666666, 35.51592333333333), (129.39047, 35.514785), (129.39055666666667, 35.51437333333333), (129.39064166666665, 35.51388166666667), (129.390685, 35.513643333333334), (129.39106833333332, 35.51125), (129.39111333333332, 35.51096), (129.39116, 35.510666666666665), (129.39130666666668, 35.509721666666664), (129.39172166666663, 35.50667), (129.39182833333334, 35.50588833333333), (129.39193166666666, 35.505163333333336), (129.392695, 35.49997833333333), (129.393205, 35.49677833333333), (129.39334166666666, 35.49595166666667), (129.39341666666667, 35.49549833333333), (129.393685, 35.49381833333333), (129.39460166666666, 35.488575)]",28,KNOC-2
KNOC-2-ORG,KNOC-2-DES,"[(129.39025666666666, 35.5231), (129.39026, 35.5231), (129.39026166666667, 35.52310166666667), (129.39026333333334, 35.52310166666667), (129.390265, 35.52310166666667), (129.39026, 35.523105), (129.39025666666666, 35.52310666666666), (129.39025666666666, 35.52310833333333), (129.39025666666666, 35.52311), (129.39025333333333, 35.52311), (129.39024666666666, 35.52310833333333), (129.39023333333333, 35.523105), (129.39023166666666, 35.52310333333333), (129.39023666666668, 35.523105), (129.39025333333333, 35.523111666666665), (129.39025166666667, 35.523111666666665), (129.39025166666667, 35.523111666666665), (129.39024333333333, 35.52310833333333), (129.39023833333334, 35.52310666666666), (129.39023666666668, 35.52310666666666), (129.39023666666668, 35.52310833333333), (129.39023, 35.52310166666667), (129.39023, 35.5231), (129.39022166666666, 35.52309), (129.39020166666666, 35.52307), (129.39017666666666, 35.523048333333335), (129.39016666666666, 35.52303833333333), (129.39014666666668, 35.523001666666666), (129.39011666666667, 35.52296), (129.39009166666668, 35.522936666666666), (129.39003, 35.522846666666666), (129.39001833333333, 35.52281333333333), (129.39000166666668, 35.52277), (129.389965, 35.522688333333335), (129.38992166666668, 35.522595), (129.38993833333333, 35.52229), (129.38993833333333, 35.52221333333333), (129.38991166666668, 35.52204833333333), (129.38988833333335, 35.52196), (129.38986333333332, 35.521865), (129.38984333333337, 35.521771666666666), (129.38983, 35.521658333333335), (129.38983333333334, 35.521523333333334), (129.38984666666667, 35.52140333333333), (129.38987166666666, 35.52126166666667), (129.389945, 35.52095), (129.39004333333332, 35.52059666666667), (129.39019, 35.51987166666667), (129.3903, 35.519058333333334), (129.39034666666666, 35.518625), (129.39048333333332, 35.517275), (129.39062666666666, 35.51581), (129.390655, 35.51562666666667), (129.3906816666667, 35.51537833333333), (129.39074166666666, 35.514851666666665), (129.39081833333333, 35.514075), (129.39086333333333, 35.51354), (129.39090333333334, 35.512953333333336), (129.39104666666665, 35.511581666666665), (129.39116, 35.510641666666665), (129.39135833333333, 35.50911), (129.39191166666666, 35.50553333333333), (129.39224, 35.50349833333333), (129.39289, 35.499768333333336), (129.39332666666667, 35.497185), (129.39340333333334, 35.49674666666667), (129.393905, 35.49359833333333)]",24,KNOC-2
KNOC-4-ORG,KNOC-4-DES,"[(129.37838333333335, 35.51741666666667), (129.37838333333335, 35.51743333333334), (129.3784, 35.51745), (129.3784, 35.51743333333334), (129.3784, 35.51741666666667), (129.37841666666668, 35.51741666666667), (129.37843333333333, 35.51741666666667), (129.37845, 35.51741666666667), (129.37846666666667, 35.51741666666667), (129.37848333333332, 35.51741666666667), (129.3785, 35.51741666666667), (129.3785, 35.51741666666667), (129.3785, 35.5174), (129.3785, 35.5174), (129.37851666666666, 35.5174), (129.37851666666666, 35.51741666666667), (129.37851666666666, 35.51741666666667), (129.37851666666666, 35.51743333333334), (129.37851666666666, 35.51743333333334), (129.37851666666666, 35.51743333333334), (129.37851666666666, 35.51745), (129.3785, 35.51745), (129.37848333333332, 35.51745), (129.37846666666667, 35.517466666666664), (129.37845, 35.51748333333333), (129.37845, 35.51748333333333), (129.37845, 35.517516666666666), (129.37846666666667, 35.51753333333333), (129.37846666666667, 35.51755), (129.37846666666667, 35.51755), (129.37846666666667, 35.51756666666667), (129.37846666666667, 35.51761666666667), (129.37846666666667, 35.51765), (129.37846666666667, 35.5177), (129.37853333333334, 35.51776666666667), (129.37856666666667, 35.517783333333334), (129.37863333333334, 35.51786666666667), (129.37875, 35.51798333333333), (129.3788, 35.51801666666667), (129.37885, 35.51806666666667), (129.3789, 35.5181), (129.37895, 35.51815), (129.37898333333334, 35.51818333333333), (129.3791, 35.51825), (129.3792, 35.5183), (129.37928333333332, 35.51833333333333), (129.37941666666666, 35.518366666666665), (129.37966666666668, 35.518433333333334), (129.37985, 35.51846666666667), (129.37998333333334, 35.518483333333336), (129.38065, 35.518566666666665), (129.38086666666666, 35.51858333333333), (129.38118333333333, 35.5186), (129.38171666666668, 35.51865), (129.38221666666666, 35.51866666666667), (129.3827333333333, 35.518683333333335), (129.38291666666666, 35.5187), (129.38303333333334, 35.518683333333335), (129.38316666666665, 35.518683333333335), (129.38353333333333, 35.51866666666667), (129.38365, 35.51866666666667), (129.3842, 35.51865), (129.38426666666666, 35.51866666666667), (129.38431666666668, 35.51866666666667), (129.38435, 35.518683333333335), (129.38443333333333, 35.5187), (129.38446666666667, 35.51871666666667), (129.38453333333334, 35.51873333333333), (129.38456666666667, 35.51875), (129.38461666666666, 35.51878333333333), (129.38463333333334, 35.5188), (129.38465, 35.518816666666666), (129.38466666666667, 35.518816666666666), (129.3847, 35.51886666666667), (129.38471666666666, 35.518883333333335), (129.38473333333334, 35.5189), (129.38475, 35.51895), (129.38476666666668, 35.518966666666664), (129.38476666666668, 35.519), (129.38476666666668, 35.51903333333333), (129.38475, 35.51911666666667), (129.38475, 35.51916666666666), (129.38468333333333, 35.519333333333336), (129.38465, 35.51938333333333), (129.38461666666666, 35.519416666666665), (129.3846, 35.51945), (129.38455, 35.51948333333333), (129.38451666666666, 35.5195), (129.38445, 35.519533333333335), (129.38441666666668, 35.51955), (129.38435, 35.51956666666667), (129.38431666666668, 35.51956666666667), (129.38423333333333, 35.51958333333334), (129.3842, 35.51958333333334), (129.3841, 35.51956666666667), (129.38398333333333, 35.519533333333335), (129.38393333333337, 35.5195), (129.38388333333333, 35.519466666666666), (129.38381666666666, 35.51935), (129.3838, 35.51918333333333), (129.38386666666668, 35.519083333333334), (129.38393333333337, 35.51903333333333), (129.384, 35.51898333333333), (129.38453333333334, 35.51871666666667), (129.38475, 35.51861666666667), (129.385, 35.51851666666666), (129.38535, 35.51835), (129.38575, 35.51815), (129.38616666666667, 35.517916666666665), (129.38641666666666, 35.517783333333334), (129.38668333333334, 35.517633333333336), (129.38798333333332, 35.5169), (129.38815, 35.5168), (129.38848333333334, 35.51656666666667), (129.3889, 35.51625), (129.3889, 35.51625), (129.38905, 35.51611666666667), (129.38925, 35.51595), (129.38965, 35.515566666666665), (129.38993333333335, 35.5152), (129.39013333333332, 35.514916666666664), (129.39025, 35.514716666666665), (129.39051666666666, 35.51416666666667), (129.39065, 35.51383333333333), (129.3908, 35.5132), (129.39086666666665, 35.51283333333333), (129.3909, 35.512566666666665), (129.39103333333333, 35.51188333333333), (129.39103333333333, 35.5115), (129.39105, 35.51123333333334), (129.3911, 35.51085), (129.39113333333333, 35.51058333333334), (129.39125, 35.50983333333333), (129.39128333333332, 35.50958333333333), (129.39136666666667, 35.50888333333333), (129.39151666666666, 35.50775), (129.39158333333333, 35.50745), (129.39165, 35.507016666666665), (129.39176666666663, 35.506033333333335), (129.39183333333332, 35.505583333333334), (129.39186666666666, 35.5053), (129.39193333333333, 35.50485), (129.39201666666668, 35.50438333333334), (129.39205, 35.504083333333334), (129.39281666666668, 35.49856666666667), (129.39288333333334, 35.49803333333333), (129.39301666666665, 35.49715)]",34,KNOC-4
KNOC-6-ORG,KNOC-6-DES,"[(129.38533333333334, 35.4957), (129.38538333333332, 35.49568333333333), (129.38541666666666, 35.49568333333333), (129.38543333333334, 35.49568333333333), (129.38576666666663, 35.495666666666665), (129.3866, 35.495333333333335), (129.38683333333333, 35.495266666666666), (129.38706666666667, 35.49516666666667), (129.38748333333334, 35.49486666666667), (129.38771666666668, 35.49471666666667), (129.3885, 35.494366666666664), (129.38876666666667, 35.494283333333335), (129.38888333333333, 35.49425), (129.3898, 35.493833333333335), (129.38998333333333, 35.49375), (129.39148333333333, 35.49296666666667), (129.3917, 35.49285), (129.39183333333332, 35.49276666666667), (129.39348333333334, 35.49165), (129.3945, 35.48955), (129.39456666666666, 35.489066666666666), (129.39461666666668, 35.488816666666665), (129.39471666666665, 35.48833333333334), (129.3951, 35.48635), (129.39531666666667, 35.48453333333333), (129.39725, 35.472633333333334), (129.39761666666666, 35.469833333333334), (129.39893333333333, 35.46223333333333), (129.4, 35.459583333333335), (129.40046666666666, 35.45885), (129.4051, 35.44983333333333), (129.40633333333332, 35.44683333333333), (129.40735, 35.4443), (129.40916666666666, 35.439816666666665)]",43,KNOC-6
KNOC-4-ORG,KNOC-4-DES,"[(129.37586333333334, 35.52145), (129.37589166666666, 35.521415), (129.37588833333334, 35.52142666666666), (129.37590333333333, 35.521436666666666), (129.3759, 35.52138333333333), (129.37588833333334, 35.52126333333333), (129.375925, 35.52104666666666), (129.37600833333337, 35.520698333333335), (129.376195, 35.520318333333336), (129.37629833333332, 35.520178333333334), (129.37778, 35.519306666666665), (129.37869, 35.51913666666667), (129.37954, 35.51900666666667), (129.38068166666667, 35.518775), (129.38163833333334, 35.518588333333334), (129.38375333333337, 35.51810666666667), (129.38552333333334, 35.51765666666667), (129.38752833333334, 35.517156666666665), (129.38903166666665, 35.51630333333333), (129.38990333333334, 35.51536333333333), (129.42148666666668, 35.452778333333335)]",43,KNOC-4
KNOC-2-ORG,KNOC-2-DES,"[(129.390425, 35.52296333333334), (129.390425, 35.522965), (129.39043, 35.522975), (129.39042666666666, 35.52297333333333), (129.39042833333335, 35.52297166666666), (129.39044, 35.522953333333334), (129.390465, 35.522925), (129.390475, 35.5229), (129.39050666666665, 35.52283833333333), (129.390545, 35.522745), (129.39058666666668, 35.52265666666667), (129.39062833333332, 35.522558333333336), (129.39064666666667, 35.522505), (129.39068833333334, 35.522396666666666), (129.39070833333332, 35.52234833333333), (129.39076166666666, 35.522238333333334), (129.39078666666666, 35.522185), (129.39102666666668, 35.52163), (129.39110333333332, 35.52151), (129.39114666666666, 35.521438333333336), (129.39119, 35.52137666666667), (129.391245, 35.52128833333333), (129.39128833333334, 35.521208333333334), (129.39153833333333, 35.52064), (129.39157, 35.52054833333333), (129.39166, 35.52023166666667), (129.39168333333333, 35.52010833333333), (129.39174166666666, 35.51976166666667), (129.39176166666667, 35.51961166666667), (129.391775, 35.51949666666667), (129.39179, 35.519353333333335), (129.391805, 35.519236666666664), (129.39184333333333, 35.51898), (129.39187166666667, 35.518811666666664), (129.39189666666667, 35.5187), (129.39192833333334, 35.518525), (129.39195166666667, 35.518413333333335), (129.391985, 35.518258333333335), (129.392005, 35.51812), (129.39203333333333, 35.51793833333333), (129.39208, 35.51766333333333), (129.39210833333334, 35.51748666666667), (129.39212833333335, 35.517295), (129.39214166666667, 35.517138333333335), (129.39216666666667, 35.516951666666664), (129.39224166666668, 35.516063333333335), (129.3922466666667, 35.51584166666667), (129.392255, 35.51566833333333), (129.39226166666666, 35.51549333333333), (129.39225166666668, 35.51487), (129.39213166666667, 35.5129), (129.39212833333335, 35.51204833333333), (129.39209, 35.511355), (129.392065, 35.510775), (129.39205833333332, 35.510525), (129.39205333333334, 35.51021), (129.392055, 35.50995), (129.39208666666667, 35.509321666666665), (129.392235, 35.507418333333334), (129.39226333333335, 35.50708), (129.39229, 35.50677666666667), (129.40564666666666, 35.45033333333333)]",40,KNOC-2
KNOC-2-ORG,KNOC-2-DES,"[(129.3887333333333, 35.52499), (129.38876666666667, 35.52493166666667), (129.38878166666666, 35.524885), (129.38878333333332, 35.52491), (129.38877666666667, 35.524948333333334), (129.388805, 35.52487), (129.38880666666665, 35.524881666666666), (129.38878666666668, 35.524883333333335), (129.38877333333335, 35.524885), (129.3887566666667, 35.52489666666666), (129.38875, 35.524905), (129.38874, 35.52491), (129.38872666666666, 35.52491166666667), (129.388715, 35.52491166666667), (129.388705, 35.52491333333333), (129.38866166666668, 35.52492), (129.38864833333332, 35.524921666666664), (129.38863666666666, 35.524923333333334), (129.38857333333334, 35.524903333333334), (129.38856833333332, 35.52489833333333), (129.38857166666668, 35.52489666666666), (129.38860333333332, 35.52489), (129.38861166666666, 35.524885), (129.38862666666665, 35.52487166666667), (129.38863666666666, 35.52485333333333), (129.38865333333334, 35.52483), (129.388675, 35.524775), (129.38869, 35.52471333333333), (129.38870666666668, 35.52464), (129.38872, 35.524546666666666), (129.38873, 35.524366666666666), (129.3887116666667, 35.524141666666665), (129.38869333333332, 35.524026666666664), (129.38864666666666, 35.523763333333335), (129.38858833333333, 35.523406666666666), (129.38853833333334, 35.523028333333336), (129.388515, 35.522751666666665), (129.38850333333335, 35.52245), (129.3885, 35.522288333333336), (129.38849666666667, 35.522105), (129.388495, 35.521775), (129.38851666666667, 35.52064333333333), (129.38852666666668, 35.520471666666666), (129.38854333333333, 35.52027833333333), (129.388625, 35.51949166666667), (129.38882166666667, 35.51823), (129.38889166666667, 35.51781166666667), (129.38906, 35.517105), (129.38912833333333, 35.51689666666667), (129.38929333333334, 35.516475), (129.38948, 35.51604666666667), (129.38965833333333, 35.515611666666665), (129.38974666666667, 35.51538166666667), (129.38999833333332, 35.514651666666666), (129.39067, 35.51240166666667), (129.39080166666668, 35.511495), (129.39101, 35.50901833333333), (129.39106666666666, 35.50833), (129.39307, 35.49626166666667), (129.40624166666666, 35.44611)]",48,KNOC-2
KNOC-4-ORG,KNOC-4-DES,"[(129.37548333333334, 35.52021666666667), (129.3755, 35.52011666666667), (129.37588333333332, 35.51985), (129.37651666666667, 35.51931666666667), (129.37658333333334, 35.51926666666667), (129.3771, 35.51905), (129.3771833333333, 35.51903333333333), (129.37753333333333, 35.518966666666664), (129.37766666666667, 35.51895), (129.37851666666666, 35.51885), (129.37893333333332, 35.51875), (129.37906666666666, 35.51871666666667), (129.38031666666666, 35.51838333333333), (129.38225, 35.51786666666667), (129.38261666666668, 35.5178), (129.38301666666666, 35.5177), (129.3832, 35.51765), (129.3841, 35.51745), (129.38466666666667, 35.51728333333333), (129.38526666666667, 35.51696666666667), (129.38543333333334, 35.5168), (129.38545, 35.51675), (129.38543333333334, 35.51651666666667), (129.38543333333334, 35.51651666666667), (129.38543333333334, 35.51651666666667), (129.38543333333334, 35.51651666666667), (129.38543333333334, 35.51651666666667), (129.38543333333334, 35.51651666666667), (129.38543333333334, 35.51651666666667), (129.38555, 35.51655), (129.38895, 35.516216666666665), (129.38986666666668, 35.51541666666667), (129.38993333333335, 35.51535), (129.39, 35.51525), (129.39011666666667, 35.5151), (129.39048333333332, 35.51423333333334), (129.3905, 35.51396666666667), (129.39051666666666, 35.51383333333333), (129.39051666666666, 35.51368333333333), (129.3905, 35.51351666666667), (129.3905, 35.51338333333333), (129.39063333333334, 35.51251666666667), (129.39051666666666, 35.511516666666665), (129.391, 35.510333333333335), (129.39108333333334, 35.509766666666664), (129.39118333333334, 35.509233333333334), (129.39126666666667, 35.50866666666667), (129.39136666666667, 35.50805), (129.39148333333333, 35.50748333333333), (129.39153333333334, 35.5072), (129.39175, 35.50598333333333), (129.39186666666666, 35.50541666666667), (129.39216666666667, 35.50386666666667), (129.39283333333333, 35.50015), (129.393, 35.49913333333333), (129.39335, 35.4969), (129.39373333333333, 35.4949), (129.39423333333335, 35.492016666666665), (129.39428333333333, 35.49155), (129.3943, 35.49115), (129.39453333333333, 35.48965), (129.39546666666666, 35.48015), (129.39611666666667, 35.474866666666664), (129.3963, 35.47355), (129.39726666666667, 35.4674), (129.39746666666667, 35.46625), (129.3979, 35.464)]",39,KNOC-4
KNOC-4-ORG,KNOC-4-DES,"[(129.38150666666667, 35.521951666666666), (129.381265, 35.522125), (129.37561833333334, 35.52255), (129.37565833333332, 35.52251166666667), (129.37566, 35.522506666666665), (129.37565833333332, 35.522506666666665), (129.37568, 35.522495), (129.37566166666667, 35.52251166666667), (129.37568, 35.522506666666665), (129.37565833333332, 35.522515), (129.37564833333334, 35.522515), (129.37565333333333, 35.52253666666667), (129.37568333333334, 35.52252333333333), (129.37568333333334, 35.52252333333333), (129.37570666666667, 35.52251833333333), (129.375735, 35.522515), (129.37575166666667, 35.522486666666666), (129.37572, 35.52256166666667), (129.37573166666667, 35.52256833333333), (129.37573166666667, 35.522575), (129.37571333333332, 35.52259166666666), (129.375695, 35.522605), (129.37567666666666, 35.52260833333333), (129.37566333333334, 35.52260666666667), (129.37566166666667, 35.52260166666667), (129.37566833333332, 35.52260166666667), (129.37568666666667, 35.52261), (129.375705, 35.52262), (129.37575166666667, 35.522648333333336), (129.37577333333334, 35.522666666666666), (129.37578833333333, 35.52268333333333), (129.37580833333334, 35.52270333333333), (129.37584833333332, 35.522731666666665), (129.37589166666666, 35.52273), (129.37601666666666, 35.52271833333333), (129.37609333333333, 35.522708333333334), (129.37628833333332, 35.522663333333334), (129.37636666666666, 35.52264666666667), (129.37644166666666, 35.52263333333333), (129.37650666666667, 35.522623333333335), (129.37659166666666, 35.52261166666667), (129.37667, 35.522605), (129.37674166666667, 35.5226), (129.37683166666667, 35.5226), (129.376915, 35.52260166666667), (129.37708166666667, 35.522605), (129.377165, 35.52260166666667), (129.37725166666667, 35.522605), (129.377345, 35.52261), (129.37796166666666, 35.522513333333336), (129.37839833333334, 35.52243166666667), (129.37861666666666, 35.52238166666667), (129.37924166666667, 35.522265), (129.38073, 35.52185166666667), (129.38094166666667, 35.52177666666667), (129.38118, 35.521695), (129.38161333333332, 35.52155166666667), (129.382345, 35.52131333333333), (129.38263833333335, 35.521225), (129.38343833333334, 35.520981666666664), (129.38372, 35.520895), (129.38432666666668, 35.52070166666667), (129.384605, 35.520603333333334), (129.38638333333333, 35.519891666666666), (129.3866283333333, 35.51978833333333), (129.38714833333333, 35.51952), (129.38772666666668, 35.51917), (129.38829166666667, 35.5188), (129.38959833333334, 35.51782333333333), (129.38966666666667, 35.51776), (129.39025666666666, 35.517005), (129.39043333333333, 35.51664666666667), (129.39051833333335, 35.51642666666667), (129.3906, 35.516165), (129.3908383333333, 35.514785), (129.39106666666666, 35.51330333333333), (129.39126833333333, 35.51223), (129.39136666666667, 35.511783333333334), (129.39182666666667, 35.508556666666664)]",24,KNOC-4
